rho,z,V_numerical,V_analytical,epsilon
0.02500000,0.36250000,0.27062494,0.57108137,2.00000000
0.02500000,0.37500000,0.21600088,0.48365683,2.00000000
0.02500000,0.38750000,0.17707245,0.41795349,2.00000000
0.02500000,0.40000000,0.14836388,0.36707249,2.00000000
0.02500000,0.41250000,0.12652468,0.32665238,2.00000000
0.02500000,0.42500000,0.10946363,0.29384572,2.00000000
0.02500000,0.43750000,0.09583146,0.26673173,2.00000000
0.02500000,0.45000000,0.08472830,0.24397505,2.00000000
0.02500000,0.46250000,0.07553552,0.22462188,2.00000000
0.02500000,0.47500000,0.06781609,0.20797454,2.00000000
0.02500000,0.48750000,0.06125370,0.19351178,2.00000000
0.02500000,0.50000000,0.05561448,0.18083686,2.00000000
0.02500000,0.51250000,0.05072218,0.16964276,2.00000000
0.02500000,0.52500000,0.04644170,0.15968835,2.00000000
0.02500000,0.53750000,0.04266792,0.15078175,2.00000000
0.02500000,0.55000000,0.03931793,0.14276841,2.00000000
0.02500000,0.56250000,0.03632550,0.13552252,2.00000000
0.02500000,0.57500000,0.03363717,0.12894068,2.00000000
0.02500000,0.58750000,0.03120933,0.12293712,2.00000000
0.02500000,0.60000000,0.02900606,0.11744010,2.00000000
0.02500000,0.61250000,0.02699756,0.11238922,2.00000000
0.02500000,0.62500000,0.02515887,0.10773322,2.00000000
0.02500000,0.63750000,0.02346896,0.10342836,2.00000000
